Account,Risk Score
81285AA30,0.0
811F49D20,0.0
811D9D200,0.0
811DF3BD0,0.0
812D69C10,0.0
811FB39C0,0.0
8120420D0,0.0
811DAA200,0.0
811D9ECF0,0.0
811EDDFF0,0.0
812857670,0.0
811E968B0,0.0
811E00B50,0.0
811F11A20,0.0
81200EF80,0.0
8123D3EB0,0.0
811DE4D10,0.0
812D696E0,0.0
812A85560,0.0
811DA1DB0,0.0
812381850,0.0
812223A00,0.0
811E069B0,0.0
811EE01F0,0.0
8122D71B0,0.0
811F64350,0.0
811DA2E40,0.0
811FA9120,0.0
8122D2610,0.0
8127C97A0,0.0
811DA3BE0,0.0
8127D1370,0.0
8127B2A70,0.0
813412550,0.0
811EEA890,0.0
811E558E0,0.0
8129CC980,0.0
8122D8620,0.0
811F6FDA0,0.0
811F15280,0.0
8127DA950,0.0
811B9C180,0.0
812838B00,0.0
811DDCFD0,0.0
81246C0D0,0.0
812040E80,0.0
811DC26A0,0.0
811F62B40,0.0
8123C4100,0.0
811DE3FB0,0.0
8127E6710,0.0
811F1E700,0.0
811FF9730,0.0
8120072E0,0.1818181818181818
812412A70,0.0
8129A42A0,0.0
8120D5AF0,0.0
811FEC2B0,0.0
8123FCD20,0.0
8123F5050,0.0
812363FF0,0.0
811DB50A0,0.0
811E3A580,0.0
811FF7420,0.0
811EDF420,0.0
811DFEE10,0.0
812859DA0,0.0
81341F6A0,0.0
813409D90,0.0
811ED1B90,0.0
811E9AA40,0.0
811F60290,0.0
811F0D450,0.0
811F458E0,0.0
8123D7760,0.0
81236AEE0,0.0
811E426C0,0.0
81239D7A0,0.0
8123C14F0,0.0
811F1AA90,0.0
812398D70,0.0
811EBB260,0.073170731707317
811F2EC50,0.0
8123C2B90,0.0
812825980,0.0
811F69AC0,0.0
812408DC0,0.0
811F61C50,0.0
811DC85E0,0.0
811EBF010,0.0
812013EA0,0.0
8129CE790,0.0
811E38CB0,0.0
8123EA670,0.0
81202D5D0,0.0434782608695652
8129DCD40,0.0
811E56A40,0.0
8127AEC60,0.0
812838050,0.0
81285BDF0,0.0
811E57020,0.0
81241AB70,0.0
811DBD440,0.0
811EE1120,0.0
8122CE060,0.0
81238FA20,0.0
811DACA80,0.0
811EE7910,0.0
8123D5810,0.0
8129FBA70,0.0
8123A2860,0.0
81234EB20,0.0
812D7BDC0,0.0
8122C7400,0.0
81236FA60,0.0
8127E49E0,0.0
8120362D0,0.0
81236E7A0,0.0
811DAC430,0.0
811ED8190,0.0
81235EE30,0.1219512195121951
811E5A6F0,0.0
8120C3D60,0.0
81200EE40,0.0
8129B7700,0.0
811FD2F80,0.0
811E85710,0.0
811E56450,0.0
8127DE4D0,0.0
811FA1010,0.0
812404580,0.0
811D9ED40,0.2531645569620253
81235F540,0.0
811DC88A0,0.0
811D9D5E0,0.0
812D17930,0.0
81246AFE0,0.0
811D9B360,0.0
812858940,0.0
811F34810,0.0
8120403D0,0.0
811F72280,0.0
812AA94F0,0.0
811DAC390,0.0
811F13C10,0.0
811E53980,0.131578947368421
811E5F331,0.0
8128639B0,0.0
811DC7600,0.0
811E443C0,0.0
811FB4790,0.0
811EF79D0,0.0
811E575D0,0.0
811DB4FB0,0.0
8127CF9B0,0.0
812AAC6B0,0.0
811F3DC10,0.0
8122C9CD0,0.0
811DC3AA0,0.0
811D9F700,0.0813953488372093
811E4EE80,0.0
812394480,0.0
812372A10,0.0
812224E70,0.0
812379830,0.0
812D0E910,0.2
8127BCEA0,0.0
811EBC520,0.0
81202ECA0,0.0
812A96470,0.0
81340FE60,0.0
8129A84B0,0.0545454545454545
811FA90D0,0.0
811FB3970,0.0
8123635C0,0.0
8127A1B50,0.0
81240E9E0,0.0
811EE4A40,0.0
811ED18A0,0.0
811D99920,0.0
811F0B6B0,0.0
811E5F330,0.0
81234EC50,0.0
812369070,0.0
812362DA0,0.0
811F71DE0,0.0
8123FE3B0,0.0
812A8BBC0,0.0
811E58030,0.0
811F36720,0.0
811FFC190,0.0
811E443C1,0.0
81203F670,0.0555555555555555
8122CB500,0.0
811DA7E20,0.0
8129EC5C0,0.0
8129F6690,0.0
8123E5A10,0.0
811E4A070,0.0204081632653061
811F3AD40,0.0
811FB1B60,0.0
811E8C6B0,0.0
8127DDC60,0.0
812AADA80,0.0
811E502C0,0.0
