Timestamp,From Bank,From Account,To Account,Amount Received,Receiving Currency,Payment Format,Converted USD
2022/09/01 00:29,1420,8005FD390,8006A3890,38386097.0,USD,Cheque,38386097.0
2022/09/01 00:14,1292,800162950,800162950,196200.95,USD,Reinvestment,196200.95
2022/09/01 00:25,1292,800170160,800170160,15119.78,USD,Reinvestment,15119.78
2022/09/01 00:26,1292,800170250,800170250,11.12,USD,Reinvestment,11.12
2022/09/01 00:21,1292,8001702F0,8001702F0,4.96,USD,Reinvestment,4.96
2022/09/01 00:20,10,8001742E0,800188040,7268.66,USD,Cheque,7268.66
2022/09/01 00:05,10,8001742E0,800188040,6014.68,USD,ACH,6014.68
2022/09/01 00:26,10,8001742E0,800188040,4933.17,USD,Wire,4933.17
2022/09/01 00:26,1292,800188040,800188040,6.91,USD,Reinvestment,6.91
2022/09/01 00:01,1292,80018F9C0,80018F9C0,10.69,USD,Reinvestment,10.69
2022/09/01 00:05,1292,80018F430,80018F430,15481.24,USD,Reinvestment,15481.24
2022/09/01 00:01,1292,800193840,800193840,17.87,USD,Reinvestment,17.87
2022/09/01 00:08,1292,800194E00,800194E00,339207.48,USD,Reinvestment,339207.48
2022/09/01 00:17,1292,800190540,800190540,14486.31,USD,Reinvestment,14486.31
2022/09/01 00:03,1292,80019DF90,80019DF90,229.85,USD,Reinvestment,229.85
2022/09/01 00:20,1292,80015E180,80015E180,2120.52,USD,Reinvestment,2120.52
2022/09/01 00:28,1292,8001625D0,8001625D0,10527.86,USD,Reinvestment,10527.86
2022/09/01 00:05,1292,80018F970,80018F970,27588.78,USD,Reinvestment,27588.78
2022/09/01 00:07,10,80019F8E0,8001A9700,2968.09,USD,Cheque,2968.09
2022/09/01 00:04,10,80019F8E0,8001A9700,4624.51,USD,Credit Card,4624.51
2022/09/01 00:04,1292,8001B5340,8001B5340,3260.13,USD,Reinvestment,3260.13
2022/09/01 00:05,1292,8001BA980,8001BA980,4625.75,USD,Reinvestment,4625.75
2022/09/01 00:22,1292,8001C9D30,8001C9D30,16774.18,USD,Reinvestment,16774.18
2022/09/01 00:11,1292,8001CFB50,8001CFB50,4840.02,USD,Reinvestment,4840.02
2022/09/01 00:22,1292,8001CFB50,8001CFB50,16.45,USD,Reinvestment,16.45
2022/09/01 00:12,1292,8001D8CB0,8001D8CB0,307514.32,USD,Reinvestment,307514.32
2022/09/01 00:03,1292,8001DA790,8001DA790,24.97,USD,Reinvestment,24.97
2022/09/01 00:26,1292,8001DB320,8001DB320,4.64,USD,Reinvestment,4.64
2022/09/01 00:03,3284,8001DDC00,8001DDB60,1290.78,USD,ACH,1290.78
2022/09/01 00:05,1292,8001DD3D0,8001DD3D0,2464.3,USD,Reinvestment,2464.3
2022/09/01 00:02,1292,8001E0AE0,8001E0AE0,109169.12,USD,Reinvestment,109169.12
2022/09/01 00:19,1292,8001E47C0,8001E47C0,3801188.54,USD,Reinvestment,3801188.54
2022/09/01 00:25,1292,8001E5FA0,8001E5FA0,16.24,USD,Reinvestment,16.24
2022/09/01 00:08,1292,8001EC280,8001EC280,5315.42,USD,Reinvestment,5315.42
2022/09/01 00:19,1292,8001EB640,8001EB640,12.37,USD,Reinvestment,12.37
2022/09/01 00:13,1292,80020A460,80020A460,1181425.47,USD,Reinvestment,1181425.47
2022/09/01 00:22,1292,800213AD0,800213AD0,326697.77,USD,Reinvestment,326697.77
2022/09/01 00:20,1292,80021C9B0,80021C9B0,8.54,USD,Reinvestment,8.54
2022/09/01 00:10,1292,8001D0C50,8001D0C50,37344.87,USD,Reinvestment,37344.87
2022/09/01 00:07,1292,8001F57A0,8001F57A0,10432.32,USD,Reinvestment,10432.32
2022/09/01 00:05,1292,800217780,800217780,12444.47,USD,Reinvestment,12444.47
2022/09/01 00:14,1292,80021D1C0,80021D1C0,61068.72,USD,Reinvestment,61068.72
2022/09/01 00:13,1292,8001D0C50,8001D0C50,20.27,USD,Reinvestment,20.27
2022/09/01 00:23,1292,8001CCCD0,8001CCCD0,87958.82,USD,Reinvestment,87958.82
2022/09/01 00:06,1292,8001CCCD0,8001CCCD0,9.36,USD,Reinvestment,9.36
2022/09/01 00:17,1292,800257E40,800257E40,11.8,USD,Reinvestment,11.8
2022/09/01 00:21,1292,80025ABD0,80025ABD0,5.42,USD,Reinvestment,5.42
2022/09/01 00:00,1292,80025C6D0,80025C6D0,22.66,USD,Reinvestment,22.66
2022/09/01 00:15,1292,80025D230,80025D230,14.86,USD,Reinvestment,14.86
2022/09/01 00:21,1292,8002555E0,8002555E0,29399.31,USD,Reinvestment,29399.31
2022/09/01 00:12,1292,800263680,800263680,6542.03,USD,Reinvestment,6542.03
2022/09/01 00:20,1292,800266A00,800266A00,22.19,USD,Reinvestment,22.19
2022/09/01 00:29,1292,8002B21D0,8002B21D0,9.27,USD,Reinvestment,9.27
2022/09/01 00:15,1292,8002BC4C0,8002BC4C0,6836.5,USD,Reinvestment,6836.5
2022/09/01 00:23,1292,8002C2DE0,8002C2DE0,5000889.07,USD,Reinvestment,5000889.07
2022/09/01 00:22,1,80011AA30,8002C2DE0,1048.63,USD,Cheque,1048.63
2022/09/01 00:21,1,80011AA30,8002C2DE0,602.04,USD,Credit Card,602.04
2022/09/01 00:09,1292,8002C2DE0,8002C2DE0,23.77,USD,Reinvestment,23.77
2022/09/01 00:06,1292,8002B5A80,8002B5A80,20.85,USD,Reinvestment,20.85
2022/09/01 00:19,70,100428660,8002D6970,299.68,USD,Cheque,299.68
2022/09/01 00:29,70,100428660,8002D6970,10.01,USD,Credit Card,10.01
2022/09/01 00:11,1292,8002D6970,8002D6970,20.2,USD,Reinvestment,20.2
2022/09/01 00:06,1292,800300A30,800300A30,17423.2,USD,Reinvestment,17423.2
2022/09/01 00:08,1292,800302F00,800302F00,14.13,USD,Reinvestment,14.13
2022/09/01 00:20,1292,800301970,800301970,62243.74,USD,Reinvestment,62243.74
2022/09/01 00:03,1292,800305DA0,800305DA0,18229.81,USD,Reinvestment,18229.81
2022/09/01 00:27,1292,800305DA0,800305DA0,13.97,USD,Reinvestment,13.97
2022/09/01 00:07,1292,80030A0D0,80030A0D0,3.87,USD,Reinvestment,3.87
2022/09/01 00:27,1292,80030B610,80030B610,44686.06,USD,Reinvestment,44686.06
